   text	   data	    bss	    dec	    hex	filename
    302	      0	      0	    302	    12e	out/addr_trans.o
   1136	      0	      4	   1140	    474	out/blkdev.o
    268	      0	   2048	   2316	    90c	out/circbuf.o
      0	     16	      0	     16	     10	out/cust_msdc.o
      0	    568	      0	    568	    238	out/custom_emi.o
    154	   1280	      0	   1434	    59a	out/cust_part.o
    263	      0	      0	    263	    107	out/device_apc.o
     33	      0	      0	     33	     21	out/div0.o
   2095	      0	      5	   2100	    834	out/download.o
    201	      0	      4	    205	     cd	out/dram_buffer.o
   4287	     40	     40	   4367	   110f	out/dramc_calib.o
   1418	    160	     68	   1646	    66e	out/dramc_dle_cal.o
   3696	    268	    192	   4156	   103c	out/dramc_dqs_gw.o
    320	      0	      0	    320	    140	out/eabi_idiv.o
    200	      0	      0	    200	     c8	out/eabi.o
    332	      0	      0	    332	    14c	out/eabi_uldivmod.o
   5026	    380	     50	   5456	   1550	out/emi.o
   2382	      0	     83	   2465	    9a1	out/fan5405.o
   4126	      0	      0	   4126	   101e	out/fpc_sw_repair2sw.o
   2316	      4	      0	   2320	    910	out/gpio.o
    711	      8	      4	    723	    2d3	out/handshake_uart.o
   1293	      8	      0	   1301	    515	out/handshake_usb.o
   5748	      0	    148	   5896	   1708	out/i2c.o
    464	      0	      0	    464	    1d0	out/init.o
    632	      0	      0	    632	    278	out/keypad.o
   2245	      0	      0	   2245	    8c5	out/main.o
   1382	      0	      0	   1382	    566	out/memory.o
    188	      0	      0	    188	     bc	out/memory_test.o
    958	      0	    208	   1166	    48e	out/mmc_common_inter.o
   7037	      0	   1648	   8685	   21ed	out/mmc_core.o
      0	      0	      0	      0	      0	out/mmc_test.o
    120	      0	      0	    120	     78	out/mrdump.o
   8425	      0	    224	   8649	   21c9	out/msdc.o
    130	      0	      0	    130	     82	out/msdc_utils.o
   1098	      0	     32	   1130	    46a	out/partition.o
   1204	      0	      0	   1204	    4b4	out/part.o
   4245	      0	   3140	   7385	   1cd9	out/platform.o
   2982	      0	      0	   2982	    ba6	out/pll.o
    440	      0	     72	    512	    200	out/pmic_6333.o
   3447	      4	     12	   3463	    d87	out/pmic.o
   5230	      0	      0	   5230	   146e	out/pmic_wrap_init.o
    916	      4	  20500	  21420	   53ac	out/print.o
   4825	      0	      3	   4828	   12dc	out/rtc.o
    419	      0	      0	    419	    1a3	out/sec_auth.o
    510	      0	      0	    510	    1fe	out/sec_boot.o
      2	      0	      0	      2	      2	out/sec_ctrl.o
      2	      0	      0	      2	      2	out/sec_flashtool_cfg.o
    205	      0	    512	    717	    2cd	out/sec_key.o
   1279	      0	     12	   1291	    50b	out/sec.o
    325	      0	      0	    325	    145	out/sec_region.o
    101	    960	      0	   1061	    425	out/sec_rom_info.o
    464	      0	      4	    468	    1d4	out/sec_secroimg.o
   1719	      0	      2	   1721	    6b9	out/sec_util.o
    158	      0	      0	    158	     9e	out/stdlib.o
    130	      0	      0	    130	     82	out/string.o
    382	      0	      8	    390	    186	out/timer.o
    544	      4	      0	    548	    224	out/uart.o
   3604	     11	     24	   3639	    e37	out/usbd.o
    837	      0	      0	    837	    345	out/usbphy.o
   2079	    167	   3676	   5922	   1722	out/usbtty.o
   3080	      0	     20	   3100	    c1c	out/wdt.o
